1386,1046
2066,2019
455,383
266,127
1674,82
2031,47
1666,1047
2002,312
2047,1994
1549,27
1324,930
799,783
1840,74
1493,943
2039,1002
2131,647
1560,597
559,30
2045,1348
2272,475
1594,27
1658,741
1900,1545
2287,472
411,373
1421,436
1851,74
790,742
2282,1187
1339,801
2242,1324
821,234
1031,633
1954,1569
500,109
2310,794
2250,1541
2195,1445
2045,47
1122,183
2232,1197
1561,951
2330,2110
1909,1545
1708,1215
1643,1203
832,493
1029,942
989,532
1064,1031
980,511
1332,801
1366,277
1264,756
2210,567
1417,705
1805,1195
1651,211
1718,950
437,102
1987,1348
1493,601
1700,1122
2279,565
1115,183
2039,312
2330,1333
1036,942
980,532
2317,1266
389,373
1460,1296
1459,436
1858,1271
989,511
1283,397
1805,74
2250,323
1359,277
2256,1324
1263,756
2250,478
1523,604
2203,567
1410,705
1818,1195
1640,211
2010,1348
1948,1219
1334,845
1573,1010
963,532
1979,1271
1230,284
827,742
1457,943
1575,898
861,80
2192,567
1435,705
1874,223
1209,1046
1708,1666
523,30
1263,412
1881,899
2250,2057
993,542
536,446
1718,1122
2000,47
2195,1197
1324,384
1788,951
1941,1219
2333,1688
1667,1215
1622,1203
1054,942
1054,636
1968,1271
1823,74
1401,277
799,536
1457,726
1670,620
1337,155
2212,478
2185,567
1926,1569
1156,281
1684,966
1665,75
464,109
2144,1242
2116,2019
1616,82
1751,1010
1998,577
1750,1067
812,493
2242,472
600,436
2174,1115
1900,846
2322,1221
1545,898
843,80
2223,478
2174,567
1523,853
1195,1046
2250,689
956,315
1969,873
1920,1721
2232,116
2240,1445
1568,741
1439,1396
1991,577
1826,1545
1604,1203
821,493
599,436
1195,284
1684,620
1003,234
2154,126
2250,2054
1631,597
1673,1666
620,30
2012,517
783,86
1975,47
1968,1219
2215,1232
2256,472
935,532
1415,1296
1342,955
1417,151
2156,1115
1308,277
953,80
1010,234
2156,567
1215,281
1296,46
1616,597
1788,950
534,68
599,30
2283,546
2315,1066
1597,82
2103,1004
1061,183
2129,110
1586,741
2232,247
1844,1545
2087,472
926,532
581,436
1319,955
876,783
1337,397
2048,107
2212,692
1019,536
1101,1039
1421,726
1122,943
1554,898
2149,567
2223,1560
1562,360
1846,1263
1210,412
2322,1066
2129,475
1588,82
1017,86
1759,1537
2110,1004
1925,47
1643,27
1862,1219
2225,247
2197,1232
2290,1312
2110,472
1120,1031
1324,955
1925,1271
799,570
1039,853
1900,223
577,30
2301,546
821,224
2263,326
1762,1010
1667,1067
1651,1589
1560,1203
619,436
517,511
1115,1039
926,80
2131,567
1544,360
1114,281
1813,223
1568,211
584,30
2029,1721
2104,1907
2154,110
1945,27
1557,741
2075,799
1858,1215
284,196
1635,1296
2086,113
1445,151
755,742
2203,323
1336,277
2215,1324
1561,830
1663,898
2047,360
1091,281
1265,1046
1748,1741
2097,1907
2019,1970
2267,1197
2209,326
2048,799
1684,1010
1805,577
1867,1215
1126,942
1149,284
627,511
1651,1597
1837,846
1684,1501
1129,1039
916,785
1742,620
2290,2014
2038,360
2310,546
1810,1263
2031,798
1561,1122
2305,254
2232,326
1622,1589
1840,1215
1012,493
1129,942
873,532
1115,851
1061,935
2290,1114
2086,1115
1746,1665
1844,846
2229,1324
942,536
1111,943
2326,1069
2007,1569
1509,705
2029,360
1575,966
2059,2054
2212,2057
2288,116
1263,183
1643,312
2110,799
1670,1010
864,532
709,686
527,436
2049,113
1140,636
1107,284
934,783
1209,801
1315,277
1670,1501
2298,2099
1159,1039
1378,404
742,676
1687,597
452,211
1242,1046
916,30
2009,798
2287,116
2110,1197
2087,799
1900,1067
1600,1589
966,493
2322,2103
863,532
1545,674
2298,113
943,783
598,511
1622,1597
2157,1187
1492,277
2123,1324
1061,943
1849,1569
2192,1560
1569,701
1332,950
2086,97
620,446
958,86
879,224
2154,1445
720,384
1793,1219
2205,326
174,99
2288,247
1788,1545
2175,472
1154,942
2315,2103
1187,1031
1590,1296
1032,935
1263,955
2287,1114
2197,2185
1988,1271
1631,1597
2228,323
1485,277
1712,1501
2242,100
2280,2099
1066,943
1778,620
1024,705
756,676
2002,360
1040,281
1544,966
2111,97
2322,241
1785,1741
1597,1122
1869,47
2322,350
1858,1067
1394,1038
1230,930
1208,1031
2284,113
1597,1271
2129,107
1721,1501
906,536
1340,726
2220,876
1445,898
1785,620
2066,567
1049,705
2004,223
956,68
2315,241
2171,1907
1874,47
2232,1093
686,384
1748,741
1469,845
1016,833
188,99
1867,1067
1201,1031
1554,674
1046,935
2215,2185
1181,801
2144,1324
2256,100
1187,1039
846,570
1562,966
1868,1263
1829,798
2000,899
2129,2057
931,86
1844,1818
2051,116
693,384
2316,350
2263,247
340,196
744,686
1263,935
2215,107
1688,1665
2159,1324
1707,1501
2287,100
2242,876
1067,705
1137,853
2029,966
1549,701
2197,1776
898,68
1019,30
1209,183
1900,951
1998,27
755,686
1554,1296
2263,113
1568,1271
1061,284
1263,801
1201,1039
1608,830
1046,943
1422,898
2287,1006
1332,404
1056,1046
398,211
551,315
2256,1242
2022,899
2150,1907
2143,1445
2097,116
1833,47
1727,741
1006,90
956,493
1201,942
801,532
1599,674
2253,993
1561,1296
712,436
2240,113
1561,1271
2229,107
1708,1597
2256,876
1651,830
2195,126
1368,604
851,331
2047,966
2075,119
1750,597
1346,950
2267,1242
1204,1172
845,412
2047,899
1107,52
1604,1537
1415,1403
1712,741
2150,799
2280,879
1590,674
1266,935
2092,1643
2229,1779
1991,846
